同義詞（腳本/口語常見寫法）,標準tag（填進索引表 subject 欄的字）,備註
金幣、硬幣、coin、爆金幣,金幣堆,
allin、全下、ALL IN、梭哈,All-in動作,2026-07-29從「All-in面板」改名，因為3D是推籌碼、不是面板，用呈現形式欄位分2D/3D的表現方式
跟注、call,跟注動作,
加注、raise,加注動作,
下注、bet,下注動作,
棄牌、蓋牌、fold,棄牌動作,
鐵支、四條,鐵支特效,和「三條」不同，不要混用
三條,三條特效,
兩對,兩對特效,
順子,順子特效,
葫蘆、福爾豪斯,葫蘆特效,
同花,同花特效,
皇冠、贏家頭像框,皇冠頭像框,
河牌、公牌、社群牌,河牌翻牌,發牌動作類
瞇牌、看牌,瞇牌動作,主角第一人稱看手牌的動作
籌碼、籌碼堆,籌碼堆,
掉金幣,掉金幣,金幣掉落動畫，跟「金幣堆」(靜態堆疊)是不同東西
牌桌全景、牌桌畫面、遊戲桌面,牌桌全景,整桌畫面(荷官+玩家+桌面),不是單一元件近拍
牌桌近景,牌桌近景,比牌桌全景更靠近的鏡頭，但不到單一元件特寫
開牌,開牌,攤牌/揭曉手牌的動作
玩家特寫,玩家特寫,人物臉部/半身特寫，用視角欄位區分是誰
思考倒數,思考倒數,行動限時倒數計時的UI
決戰時刻,決戰時刻,關鍵時刻的轉場效果
不分類牌特效,不分類牌特效,還沒細分具體牌型的特效畫面
選擇,選擇,跳出選項面板給玩家選、懸浮式UI
bar條,bar條,行動選項的進度條/指示條UI
中撲jingle,中撲jingle,中文德撲專屬品牌片尾，跟印撲icon不合併(不同遊戲)；2026-07-29:不分2D/3D等風格，比對時不受style限制
印撲icon,印撲icon,印尼德撲專屬品牌片尾，跟中撲jingle不合併(不同遊戲)；2026-07-29:不分2D/3D等風格，比對時不受style限制
